hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,month,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,1,100,100
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,2,100.13,100.56
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,3,99.96,100.13
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,4,100.14,100.12
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,5,100.33,100.1
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,6,100.44,99.92
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,7,100.41,99.86
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,8,100.76,100.02
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,9,100.24,99.46
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,10,100.8,100.3
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,11,100.84,100.62
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1991,12,101,100.73
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,13,100.97,100.97
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,14,101,101.46
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,15,100.65,100.83
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,16,100.42,100.39
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,17,100.49,100.22
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,18,100.31,99.75
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,19,100.61,100.01
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,20,100.93,100.16
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,21,100.97,100.2
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,22,100.06,99.57
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,23,99.8,99.6
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1992,24,99.48,99.24
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,25,98.64,98.67
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,26,97.66,98.14
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,27,98.09,98.25
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,28,98.34,98.31
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,29,98.19,97.9
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,30,98.47,97.88
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,31,97.53,96.85
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,32,98.02,97.25
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,33,97.69,96.97
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,34,97.7,97.27
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,35,97,96.85
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1993,36,97.01,96.84
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,37,96.72,96.8
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,38,96.12,96.63
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,39,96.42,96.54
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,40,96.92,96.86
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,41,96.81,96.43
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,42,97.18,96.52
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,43,97.05,96.26
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,44,96.92,96.11
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,45,96.95,96.29
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,46,96.42,96.05
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,47,95.84,95.73
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1994,48,95.99,95.92
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,49,95.93,96.09
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,50,96.04,96.59
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,51,95.61,95.67
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,52,95.35,95.24
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,53,96.07,95.58
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,54,96.08,95.34
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,55,96.49,95.61
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,56,96.52,95.69
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,57,96.03,95.44
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,58,95.69,95.39
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,59,95.53,95.47
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1995,60,95.41,95.46
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,61,95.52,95.77
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,62,95.15,95.7
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,63,95.69,95.68
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,64,95.74,95.55
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,65,96.15,95.54
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,66,96.46,95.64
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,67,96.82,95.88
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,68,96.46,95.62
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,69,96.26,95.75
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,70,96.25,96.02
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,71,96.37,96.33
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1996,72,96.38,96.53
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,73,95.91,96.22
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,74,95.71,96.23
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,75,96.93,96.85
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,76,97.85,97.59
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,77,98.53,97.78
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,78,98.79,97.9
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,79,99.54,98.6
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,80,99.97,99.15
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,81,99.96,99.49
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,82,99.96,99.78
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,83,100.82,100.81
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1997,84,100.76,100.97
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,85,101.34,101.73
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,86,102.38,102.89
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,87,103.5,103.35
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,88,104.96,104.61
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,89,106.1,105.2
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,90,107.19,106.19
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,91,107.53,106.57
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,92,108.05,107.21
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,93,108.37,107.88
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,94,108.93,108.76
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,95,109.5,109.51
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1998,96,109.38,109.62
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1999,97,110.7,111.15
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1999,98,111.03,111.52
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1999,99,112.69,112.49
traditional,purchase-only,monthly,USA or Census Division,Pacific Division,DV_PAC,1999,100,113.63,113.22
